time,open,high,low,close,EMA,Smoothing Line,Volume,Volume MA
2013-08-14T10:00:00-04:00,3140.75,3142.5,3124,3129.5,NaN,NaN,104287,NaN
2013-08-14T14:00:00-04:00,3129.25,3138,3118,3119.25,NaN,NaN,72501,NaN
2013-08-14T18:00:00-04:00,3113,3114.25,3106.25,3113.25,NaN,NaN,3759,NaN
2013-08-14T22:00:00-04:00,3113.5,3114.75,3109,3110.25,NaN,NaN,1956,NaN
2013-08-15T02:00:00-04:00,3110.25,3114.5,3106.5,3111.75,NaN,NaN,5858,NaN
2013-08-15T06:00:00-04:00,3111.25,3112.25,3076,3078.5,NaN,NaN,81594,NaN
2013-08-15T10:00:00-04:00,3078.25,3091.5,3066.5,3076.75,NaN,NaN,138186,NaN
2013-08-15T14:00:00-04:00,3076.5,3083.5,3069,3072.75,NaN,NaN,74112,NaN
2013-08-15T18:00:00-04:00,3071.75,3077,3071,3071.5,NaN,NaN,3210,NaN
2013-08-15T22:00:00-04:00,3071.25,3077.75,3068.25,3071.25,NaN,NaN,4275,NaN
2013-08-16T02:00:00-04:00,3071.75,3081.5,3071.75,3078,NaN,NaN,11799,NaN
2013-08-16T06:00:00-04:00,3078.25,3082,3068.5,3080.75,NaN,NaN,43523,NaN
2013-08-16T10:00:00-04:00,3080.75,3090,3072,3076.5,NaN,NaN,83411,NaN
2013-08-16T14:00:00-04:00,3076.5,3082.75,3069,3069.75,NaN,NaN,42663,NaN
2013-08-18T18:00:00-04:00,3068.5,3073.75,3060.25,3073,NaN,NaN,2571,NaN
2013-08-18T22:00:00-04:00,3072.75,3073.75,3068.5,3071.5,NaN,NaN,1372,NaN
2013-08-19T02:00:00-04:00,3072,3076.75,3066.25,3074,NaN,NaN,10258,NaN
2013-08-19T06:00:00-04:00,3074,3091.75,3069.25,3091.5,3087.2083333333335,NaN,42183,NaN
2013-08-19T10:00:00-04:00,3091.5,3100.5,3085.25,3091,3087.607456140351,NaN,84693,NaN
2013-08-19T14:00:00-04:00,3090.75,3091.5,3067,3070.75,3085.832987072946,NaN,69445,44082.8
2013-08-19T18:00:00-04:00,3071.25,3078.5,3070.25,3077.25,3084.9295147494777,NaN,1982,38967.55
2013-08-19T22:00:00-04:00,3077.5,3077.5,3066.5,3066.75,3083.0158816179537,3085.718834582812,2721,35478.55
2013-08-20T02:00:00-04:00,3067,3073.5,3063.5,3067.25,3081.3563151318535,3084.5484309425165,10709,35826.05
