time,open,high,low,close,EMA,Smoothing Line,Volume,Volume MA
2020-01-01T18:00:00-05:00,8776.75,8783.75,8769.5,8776.5,NaN,NaN,5839,NaN
2020-01-01T19:00:00-05:00,8776.5,8783,8775,8781.75,NaN,NaN,2182,NaN
2020-01-01T20:00:00-05:00,8782,8787,8772.5,8781.75,NaN,NaN,5044,NaN
2020-01-01T21:00:00-05:00,8781.75,8787,8780,8785.5,NaN,NaN,2814,NaN
2020-01-01T22:00:00-05:00,8785.5,8792,8785.5,8791,NaN,NaN,2162,NaN
2020-01-01T23:00:00-05:00,8791,8791,8787,8787.75,NaN,NaN,979,NaN
2020-01-02T00:00:00-05:00,8787.75,8789.5,8783.5,8789,NaN,NaN,1639,NaN
2020-01-02T01:00:00-05:00,8789,8789.75,8785,8788.5,NaN,NaN,2057,NaN
2020-01-02T02:00:00-05:00,8788.25,8800,8788.25,8795.75,NaN,NaN,5851,NaN
2020-01-02T03:00:00-05:00,8795.75,8808.75,8792.75,8805.75,NaN,NaN,11204,NaN
2020-01-02T04:00:00-05:00,8805.75,8816.5,8804.25,8815.25,NaN,NaN,7765,NaN
2020-01-02T05:00:00-05:00,8815.25,8822,8814.25,8818,NaN,NaN,5082,NaN
2020-01-02T06:00:00-05:00,8818,8818.25,8807.75,8808.25,NaN,NaN,5236,NaN
2020-01-02T07:00:00-05:00,8808.5,8819,8807.75,8818.5,NaN,NaN,4874,NaN
2020-01-02T08:00:00-05:00,8818.5,8831,8817.75,8828.5,NaN,NaN,8602,NaN
2020-01-02T09:00:00-05:00,8828.5,8852.5,8815.25,8848,NaN,NaN,72161,NaN
2020-01-02T10:00:00-05:00,8848,8849.75,8802.25,8828.75,NaN,NaN,75673,NaN
2020-01-02T11:00:00-05:00,8828.75,8834,8805.25,8829.25,8804.319444444445,NaN,44470,NaN
2020-01-02T12:00:00-05:00,8829.25,8845.75,8826.75,8844.25,8808.522660818715,NaN,28135,NaN
2020-01-02T13:00:00-05:00,8844.25,8845,8834.75,8844.5,8812.309749153586,NaN,23446,15760.75
2020-01-02T14:00:00-05:00,8844.5,8864,8843.75,8862.5,8817.592933453208,NaN,29561,16946.85
2020-01-02T15:00:00-05:00,8862.5,8889.5,8862,8889,8825.109466773923,8813.570850928776,48834,19279.45
2020-01-02T16:00:00-05:00,8889,8901.5,8884.5,8901,8833.097943955616,8819.32655083101,13960,19725.25
